Number,State,Angle,Weight,Filtered_Weight,Current,Filtered_Current,Inter_Torque,Gravity_Torque,Angle_int,Motion,Inter_Force,Motor_Torque,Human_Torque
1,Extension,64,366.04,355.0976936167793,588.572,42.53921574261285,12428.419276587274,2.944590045700229,64,50.427,3587.1920000000005,0.18890583957224685,-1.9146842907732151
1,Extension,67,368.97999999999996,300.2606595568739,-356.69399999999996,-7.888943847921581,10509.123084490588,3.0157180498196143,67,51.72,3616.004,0.28282391543655977,-2.267949033174622
1,Extension,70,207.29000000000002,202.6693300381161,110.29,-80.22882114413996,7093.426551334063,3.078580180384436,70,53.013,2031.4420000000002,0.4175506661069647,-2.800503322741747
1,Extension,73,46.68,88.02202143436267,-446.00200000000007,-92.43391038563922,3080.7707502026938,3.133004136664308,73,54.306,457.46400000000006,0.4402815868191494,-3.2711653148636186
1,Extension,77,-39.914,-10.011290355476671,88.77000000000001,-29.966789129734302,-350.3951624416836,3.192188917370614,77,56.03,-391.15720000000005,0.32394198845239625,-3.550492933457923
1,Extension,80,-80.144,-76.88360740112869,200.13600000000002,48.79280389269161,-2690.926259039504,3.2263844185311057,80,57.323,-785.4112000000001,0.1772590737360114,-3.667533215607739
1,Extension,83,-100.388,-120.49869205176711,113.518,93.17463210492686,-4217.454221811849,3.2517366242636365,83,58.616,-983.8024000000001,0.09460176593658084,-3.7599293699073013
1,Extension,86,-140.07800000000003,-154.53109893232025,-37.12200000000001,116.99052294248929,-5408.588462631208,3.2681760459345,86,59.909,-1372.7644000000005,0.05024673373591673,-3.8488241268914583
1,Extension,90,-190.698,-183.97365608729464,236.18200000000002,155.00679470786508,-6439.077963055313,3.2761565987500005,90,61.633,-1868.8404000000003,-0.020555276980514015,-3.8870591688700147
1,Extension,93,-218.56,-205.46751322369104,101.144,209.9057877614261,-7191.362962829187,3.2716667399928396,93,62.926,-2141.8880000000004,-0.12279989261480206,-3.854098652347811
1,Extension,96,-220.44400000000002,-216.89038689454438,408.88,257.8748501658483,-7591.163541309053,3.2582094701121265,96,64.219,-2160.3512000000005,-0.2121381131372127,-3.7905102058731712
1,Extension,99,-280.9275,-284.04905527582304,291.1925,300.22365949375313,-9941.716934653807,3.235821674549199,99,65.512,-2753.0895000000005,-0.29100909949714415,-3.919761971232463
1,Extension,100,40.52,22.214346452019754,-48.42,196.77792024210254,777.5021258206914,3.226384418531106,100,65.943,397.09600000000006,-0.09835037735135177,-3.051787127987565
1,Extension,103,-217.97600000000003,-230.64541905545497,329.794,280.85088090249536,-8072.589666940925,3.192188917370614,103,67.236,-2136.1648000000005,-0.25492897870332876,-3.7289105633156847
1,Extension,106,-246.75,-244.01606153820254,169.46999999999997,283.8997746637919,-8540.562153837087,3.14924384827394,106,68.529,-2418.15,-0.26060727903990155,-3.7261796183527136
1,Extension,109,-263.276,-260.843519118631,345.396,297.90871054100205,-9129.523169152084,3.097666920690403,109,69.822,-2580.1048,-0.28669770774436454,-3.706269608208179
1,Extension,112,-421.16499999999996,-412.35316819623506,587.765,408.0807862842528,-14432.360886868226,3.0375995033934413,112,71.115,-4127.417,-0.49188364853221056,-3.961046991786213
1,Extension,113,-195.14,-187.65443880321166,186.50666666666666,245.43959836423016,-6567.905358112407,3.0157180498196148,113,71.546,-1912.372,-0.18897853460848485,-3.470831014209813
1,Extension,116,-287.054,-293.11305476554924,296.976,309.905330397336,-10258.95691679422,2.9445900457002296,116,72.839,-2813.1292,-0.3090403722978807,-3.6416096846872748
1,Extension,119,-304.49,-308.7666631888136,297.514,300.54620321064084,-10806.833211608477,2.8653911249415245,119,74.132,-2984.0020000000004,-0.29160980921009405,-3.633569638365559
1,Extension,122,-404.08666666666664,-404.42992055593317,330.87,342.87190631611855,-14155.04721945766,2.7783383662802503,122,75.425,-3960.0493333333334,-0.3704377622337215,-3.79603655986028
1,Extension,123,-207.58999999999997,-204.53232493073426,240.755,220.41741994856895,-7158.631372575699,2.7476161153518115,123,75.856,-2034.3819999999998,-0.1423768963608429,-3.3072611514242967
1,Extension,126,-345.01599999999996,-338.1182254499461,271.152,297.6250079943758,-11834.137890748114,2.650466364622376,126,77.149,-3381.1567999999997,-0.2861693363440736,-3.5248295265114495
1,Extension,129,-346.014,-348.16577477620154,281.912,309.1542526863029,-12185.802117167053,2.546051869819169,129,78.442,-3390.9372000000003,-0.3076415551683729,-3.4334292931829653
1,Extension,132,-410.14,-411.57756005254714,491.59749999999997,358.16877570250716,-14405.21460183915,2.4346588238146825,132,79.735,-4019.3720000000003,-0.3989268554543076,-3.448400964090672
1,Extension,133,-120.01,-129.02432082441996,21.52,135.0377528399997,-4515.851228854699,2.3960292555798843,133,80.166,-1176.0980000000002,0.01663533247880583,-2.8555183182293686
1,Extension,136,-360.502,-359.5978715206931,260.392,297.893208339705,-12585.92550322426,2.275809604256166,136,81.459,-3532.9196,-0.28666883623825956,-3.223398447088246
1,Extension,139,-363.01,-361.56655356620615,288.368,265.5911333090733,-12654.829374817216,2.149352116996768,139,82.752,-3557.498,-0.2265090216042343,-3.1638579360724424
1,Extension,142,-380.015,-379.89991390025693,189.64499999999998,211.68633557325478,-13296.496986508992,2.017003404984316,142,84.045,-3724.147,-0.1261160085672619,-3.1948283347397943
1,Extension,143,-274.81,-282.8612416549453,223.27,301.15043082072106,-9900.143457923084,1.9716402593264672,143,84.476,-2693.1380000000004,-0.29273513075630164,-2.649777559342873
1,Extension,146,-352.948,-355.9132667768284,277.07,203.56596758655715,-12456.964337188994,1.8320035206798593,146,85.769,-3458.8904,-0.11099252710743174,-2.9426219022928137
1,Extension,149,-353.06600000000003,-346.82563306858594,-10.221999999999998,197.27490936248014,-12138.897157400508,1.687345387724071,149,87.062,-3460.0468000000005,-0.0992759765064739,-2.7784885844542786
1,Extension,152,-377.9375,-372.06384286406427,385.3425,202.0673915454293,-13022.23450024225,1.5380623583464714,152,88.355,-3703.7875000000004,-0.1082015591351343,-2.7069057750822947
1,Extension,153,-167.61,-174.82364327256545,769.34,212.63819523729228,-6118.827514539791,1.4873439714915264,153,88.786,-1642.5780000000002,-0.12788876467942495,-1.9595072129035798
1,Extension,155,-554.47,-554.6159814628425,355.08,317.46226828432134,-19411.559351199485,1.3845636069540475,155,89.648,-5433.8060000000005,-0.3231145140380248,-2.9650728022578456
1,Extension,156,-251.2875,-255.0523374113531,-20.84750000000001,183.69955088131462,-8926.83180939736,1.3325329371662065,156,90.079,-2462.6175000000003,-0.07399304811741836,-2.133963051826565
1,Extension,159,-298.594,-297.60112795343247,266.848,216.86552470455769,-10416.039478370138,1.1740695226833426,159,91.372,-2926.2212,-0.13576179936547766,-2.059772271823629
