,Unnamed: 0,State,Angle,Range_0,Range_1,New_Range_0,New_Range_1,Filtered_New_Range_0,Filtered_New_Range_1,Angle_int,Motion
0,0,Flexion,170,-1.796539698,-1.342017142,-1.796539698,10.65798286,-2.001729963,-0.722156227,170,4.31
1,1,Flexion,167,-3.120823407,-2.562328258,-3.120823407,9.437671742,-2.846335661,-1.577553054,167,5.603
2,2,Flexion,166,-3.155707855,-1.433905105,-3.155707855,10.5660949,-3.285364182,-2.002280425,166,6.034
3,3,Flexion,164,-3.163859755,-3.075421278,-3.163859755,8.924578722,-3.408303329,-1.913169934,164,6.896
4,4,Flexion,163,-2.849992017,-1.523802924,-2.849992017,10.47619708,-3.512776117,-1.444384515,163,7.327
5,5,Flexion,160,-3.711442686,-1.666631224,-3.711442686,10.33336878,-3.731907095,-1.005658267,160,8.62
6,6,Flexion,157,-3.744540387,-1.250802451,-3.744540387,10.74919755,-3.994092482,-1.023270583,157,9.913
7,7,Flexion,156,-4.559048407,-2.231173073,-4.559048407,9.768826927,-4.098596122,-1.428026853,156,10.344
8,8,Flexion,154,-2.890561153,-2.6875957,-2.890561153,9.3124043,-4.033338498,-1.855709953,154,11.206
9,9,Flexion,153,-3.565562308,-1.926325217,-3.565562308,10.07367478,-4.072567557,-2.12214736,153,11.637
10,10,Flexion,151,-4.107132593,-3.213438086,-4.107132593,8.786561914,-4.263337227,-2.163587503,151,12.499
11,11,Flexion,150,-4.411409604,-2.039710607,-4.411409604,9.960289393,-4.303208185,-2.009880882,150,12.93
12,12,Flexion,147,-3.536411684,-2.154965031,-3.536411684,9.845034969,-4.081348562,-1.876407364,147,14.223
13,13,Flexion,146,-3.322052684,-2.736727434,-3.322052684,9.263272566,-3.856167168,-1.794824966,146,14.654
14,14,Flexion,144,-3.011139137,-1.702940941,-3.011139137,10.29705906,-3.878652463,-1.670344779,144,15.516
15,15,Flexion,143,-3.572337992,-2.409021909,-3.572337992,9.590978091,-4.101860232,-1.623211143,143,15.947
16,16,Flexion,141,-3.969711666,-2.539599711,-3.969711666,9.460400289,-4.32739323,-1.690603406,141,16.809
17,17,Flexion,140,-4.152481359,-2.397111889,-4.152481359,9.602888111,-4.50804607,-1.776475432,140,17.24
18,18,Flexion,138,-3.926346358,-1.881594353,-3.926346358,10.11840565,-4.714419857,-1.966731661,138,18.102
19,19,Flexion,137,-4.578402365,-2.517123632,-4.578402365,9.482876368,-4.893199931,-2.309679069,137,18.533
20,20,Flexion,136,-4.213688542,-3.448498721,-4.213688542,8.551501279,-4.893492618,-2.5124857,136,18.964
21,21,Flexion,134,-4.575204207,-2.108734324,-4.575204207,9.891265676,-4.718400078,-2.312332836,134,19.826
22,22,Flexion,133,-4.02000343,-2.994968263,-4.02000343,9.005031737,-4.567277207,-1.863871627,133,20.257
23,23,Flexion,131,-4.375427421,-2.004343043,-4.375427421,9.995656957,-4.56688029,-1.473628223,131,21.119
24,24,Flexion,130,-4.199801114,-2.767496773,-4.199801114,9.232503227,-4.66580959,-1.339845236,130,21.55
25,25,Flexion,128,-4.175684782,-2.037289911,-4.175684782,9.962710089,-4.769609148,-1.66951199,128,22.412
26,26,Flexion,127,-4.49360802,-2.798375153,-4.49360802,9.201624847,-4.763722954,-2.428363563,127,22.843
27,27,Flexion,126,-3.96336,-4.513441597,-3.96336,7.486558403,-4.635373017,-2.984097974,126,23.274
28,28,Flexion,124,-4.282639173,-2.310469164,-4.282639173,9.689530836,-4.590541981,-2.851022413,124,24.136
29,29,Flexion,123,-4.063847639,-3.545992081,-4.063847639,8.454007919,-4.806588268,-2.345975763,123,24.567
30,30,Flexion,121,-4.924932529,-2.641045558,-4.924932529,9.358954442,-5.158509853,-1.934810237,121,25.429
31,31,Flexion,120,-4.704472618,-2.911187435,-4.704472618,9.088812565,-5.319674424,-1.73931569,120,25.86
32,32,Flexion,118,-4.552618168,-2.18816312,-4.552618168,9.81183688,-5.165472518,-1.723416089,118,26.722
33,33,Flexion,117,-4.293058392,-2.970585721,-4.293058392,9.029414279,-4.901346465,-1.830845497,117,27.153
34,34,Flexion,115,-4.347719703,-1.796737329,-4.347719703,10.20326267,-4.774039932,-2.060392249,115,28.015
35,35,Flexion,114,-4.337689107,-2.7641277,-4.337689107,9.2358723,-4.851642788,-2.380679623,114,28.446
36,36,Flexion,113,-4.661367879,-3.925215794,-4.661367879,8.074784206,-5.023412644,-2.536164707,113,28.877
37,37,Flexion,111,-4.284502974,-2.343246307,-4.284502974,9.656753693,-5.140153504,-2.340480451,111,29.739
38,38,Flexion,110,-4.791668196,-3.16820164,-4.791668196,8.83179836,-5.123296172,-1.995065184,110,30.17
39,39,Flexion,108,-4.383011038,-2.239535694,-4.383011038,9.760464306,-5.006275867,-1.7667852,108,31.032
40,40,Flexion,107,-4.35849506,-3.035063298,-4.35849506,8.964936702,-4.908431738,-1.758872457,107,31.463
41,41,Flexion,105,-4.505118719,-1.904233653,-4.505118719,10.09576635,-4.860662184,-2.097819081,105,32.325
42,42,Flexion,104,-4.422105644,-3.008487781,-4.422105644,8.991512219,-4.816086941,-2.752290969,104,32.756
43,43,Flexion,103,-4.324464926,-4.790462625,-4.324464926,7.209537375,-4.792546426,-3.210785885,103,33.187
44,44,Flexion,101,-4.34138353,-2.557331147,-4.34138353,9.442668853,-4.810918522,-3.095773566,101,34.049
45,45,Flexion,100,-4.605301375,-3.880736412,-4.605301375,8.119263588,-4.865499543,-2.677888514,100,34.48
46,46,Flexion,98,-4.488813716,-2.33696399,-4.488813716,9.66303601,-4.946005004,-2.276369746,98,35.342
47,47,Flexion,97,-4.553690026,-3.11938771,-4.553690026,8.88061229,-5.007337634,-1.936092976,97,35.773
48,48,Flexion,95,-4.478096456,-2.282534155,-4.478096456,9.717465845,-5.020043439,-1.669362071,95,36.635
49,49,Flexion,94,-4.702050192,-2.946719597,-4.702050192,9.053280403,-4.983312532,-1.553973564,94,37.066
50,50,Flexion,92,-4.365424928,-1.636861398,-4.365424928,10.3631386,-4.912104536,-1.804775502,92,37.928
51,51,Flexion,91,-4.584398725,-2.90340507,-4.584398725,9.09659493,-4.896777911,-2.459747808,91,38.359
52,52,Flexion,90,-4.409602465,-4.47509936,-4.409602465,7.52490064,-4.994921575,-2.990098995,90,38.79
53,53,Flexion,88,-4.660858428,-2.468878658,-4.660858428,9.531121342,-5.060555157,-2.952882797,88,39.652
54,54,Flexion,87,-4.349098701,-3.792857792,-4.349098701,8.207142208,-4.931760631,-2.546093284,87,40.083
55,55,Flexion,85,-4.064371707,-2.19717998,-4.064371707,9.80282002,-4.7045235,-2.088583557,85,40.945
56,56,Flexion,84,-4.526057501,-2.92178255,-4.526057501,9.07821745,-4.569186668,-1.726950366,84,41.376
57,57,Flexion,82,-4.286653848,-1.665301189,-4.286653848,10.33469881,-4.558555977,-1.538050327,82,42.238
58,58,Flexion,81,-4.055677164,-2.794653223,-4.055677164,9.205346777,-4.642935107,-1.514225403,81,42.669
59,59,Flexion,79,-4.321946541,-1.326273262,-4.321946541,10.67372674,-4.815053689,-1.680966523,79,43.531
60,60,Flexion,78,-4.205590279,-2.542674717,-4.205590279,9.457325283,-4.9987649,-2.034659755,78,43.962
61,61,Flexion,77,-4.726472309,-3.686621473,-4.726472309,8.313378527,-5.075911502,-2.287748353,77,44.393
62,62,Flexion,75,-4.510252394,-2.145575002,-4.510252394,9.854424998,-5.0309466,-2.164962153,75,45.255
63,63,Flexion,74,-4.306728712,-3.152925406,-4.306728712,8.847074594,-4.959701866,-1.770415749,74,45.686
64,64,Flexion,72,-4.530075285,-1.564052355,-4.530075285,10.43594765,-4.917523132,-1.362575867,72,46.548
65,65,Flexion,71,-4.137703248,-2.59430186,-4.137703248,9.40569814,-4.8815531,-1.15898171,71,46.979
66,66,Flexion,69,-4.577442487,-1.29840299,-4.577442487,10.70159701,-4.83703551,-1.37559461,69,47.841
67,67,Flexion,68,-4.117216234,-2.302644155,-4.117216234,9.697355845,-4.78549878,-1.911810681,68,48.272
68,68,Flexion,67,-4.180676219,-3.740221856,-4.180676219,8.259778144,-4.756426074,-2.07871857,67,48.703
