State,Repeat,Angle,Weight,Filtered_Weight,Current,Filtered_Current,Inter_Torque,Gravity_Torque,Inter_Force,Motor_Torque,Human_Torque
Flexion,1,180,-174.35,-174.3492224680624,-874.25,-874.1697630453909,-4533.079784169622,0.0,-1708.6223801870117,1.8961968475008608,-2.3407401218128334
Flexion,1,179,-226.2746153846154,-226.27616333327907,-707.0561538461538,-707.2327699097427,-7680.933062705842,0.049331909384237926,-2217.506400666135,1.5852911687455928,-2.387865309910187
Flexion,1,178,-576.7,-576.6886370895041,196.37,196.5860780668634,-20184.102298132646,0.10873619743391626,-5651.548643477141,-0.09799308792983841,-1.990127402715527
Flexion,1,176,-245.75466666666668,-219.9936228352973,29.052,-306.6428024581172,-7433.296819761316,0.19480951068369984,-2155.9375037859136,0.8392270795721637,-1.7629940021084276
Flexion,1,173,-201.75933333333333,-183.45495345873314,-89.66666666666667,-86.91251956339082,-6212.647091772252,0.34034557485211164,-1797.858543895585,0.42999847503535593,-1.3795966136667084
Flexion,1,170,-125.15533333333333,-138.89217316934023,0.7173333333333327,-16.948765113348944,-4714.566998475715,0.48494877545698467,-1361.1432970595342,0.29969704719136675,-1.2469869130885851
Flexion,1,166,-85.75266666666667,-98.42800884229273,-176.82266666666666,-30.484988470034047,-3338.4862535723796,0.675617381095234,-964.5944866544688,0.324907089803512,-1.327918137251441
Flexion,1,163,-63.12733333333333,-71.33094498146443,53.261999999999986,-63.790479271517526,-2395.5517030302644,0.8165090016407582,-699.0432608183514,0.3869356793294926,-1.4383680550453382
Flexion,1,160,-62.129333333333335,-57.382017088109166,-257.8813333333333,-87.6526843655725,-1888.3176334885827,0.9551626277676298,-562.3437674634698,0.43137696781811535,-1.5717202991470482
Flexion,1,157,57.625,60.006235929849524,82.38125,-128.51867358433861,1970.9362590966145,1.0789177690043672,588.0611121125254,0.5074863302632736,-1.393121276155032
Flexion,1,156,-191.74285714285716,-176.8675981270735,62.638571428571424,-63.40679375339052,-5737.05900051919,1.1505066672257678,-1733.3024616453206,0.3862210983118214,-2.0993410691723837
Flexion,1,153,-45.734666666666676,-45.80610765281073,-239.41,-101.54876606508918,-1447.192873461641,1.2678632155880407,-448.8998549975452,0.45725721539940656,-1.8670415727190037
Flexion,1,150,-39.077333333333335,-42.041048185086645,17.933333333333326,-102.02860973069022,-1309.8873309621297,1.3963543469691664,-412.00227221384915,0.4581508826312638,-1.9829612971770882
Flexion,1,147,-43.485,-46.73206172750194,-223.8464285714286,-91.98941488900515,-1422.843772113198,1.5520687657316685,-457.9742049295191,0.4394537524878315,-2.1310558287732793
Flexion,1,144,165.17,157.84802777802074,178.4366666666667,-30.912976670849744,5333.927703462139,1.679275054811517,1546.9106722246033,0.32570418072730584,-1.4818996077500184
Flexion,1,143,-107.4409090909091,-99.25481744920847,8.803636363636366,-99.79271872934805,-3156.1784901156107,1.7138171064750716,-972.6972110022431,0.4539867294598321,-2.4773192177750283
Flexion,1,141,61.33,56.35213178047144,-688.64,-247.92011492306784,1493.331492182493,1.2552110028814387,552.2508914486201,0.7298611644236697,-1.8386263726631784
Flexion,1,140,-43.22857142857142,-39.93534552424004,-160.82357142857146,-83.10515852670969,-1203.8872990910945,1.8317647246240263,-391.3663861375524,0.42290759514623605,-2.372733335089142
Flexion,1,138,46.2,49.03680957196538,-80.7,-218.14892037252653,1299.4754536570824,1.3346144688959458,480.5607338052607,0.6744148952940345,-1.8815943529920527
Flexion,1,137,-31.637142857142862,-33.884596615217276,-54.56857142857143,-85.62883080995276,-1017.7490473256543,1.9435043852558584,-332.0690468291293,0.42760771600884184,-2.4709191894845066
Flexion,1,134,137.145,137.98616133918918,-130.465,-110.67673763088514,4496.332330892123,1.8268026993626905,1352.2643811240541,0.47425727118103045,-1.8601203904044505
Flexion,1,133,-122.9022222222222,-129.9497958418498,-65.45666666666666,-81.00660747404628,-4155.724257307173,2.165887963005673,-1273.5079992501283,0.41899922572388315,-2.9924245267954976
Flexion,1,131,40.56,37.591736071197396,-80.7,-96.76400296006318,996.181005886731,1.50530601351615,368.39901349773453,0.4483460088842486,-1.8559600365432816
Flexion,1,130,-23.12785714285715,-21.090876086363128,-83.96642857142857,-89.45802852447066,-642.2253041989217,2.1830121913580274,-206.69058564635867,0.4347392648175168,-2.680732244771324
Flexion,1,128,37.11,40.45482480933795,-102.22,-98.13940815564054,1072.0528574474556,1.5717268697840765,396.45728313151193,0.45090758183379265,-1.9175019787349772
Flexion,1,127,-15.362142857142851,-14.259683467039965,-151.02428571428572,-83.92595848553101,-444.1732146290515,2.2758876074947207,-139.74489797699167,0.4244362639183654,-2.743882384519875
Flexion,1,124,166.7775,170.417689275344,52.11874999999999,-100.49257731599238,5451.833967411099,2.19625000272405,1670.0933548983714,0.455290155410104,-2.116897875564641
Flexion,1,123,-197.01714285714283,-199.1220380150693,-7.685714285714285,-59.25654672518452,-6417.176183278767,2.4797549001970247,-1951.3959725476793,0.3784916229866133,-3.487556539370374
Flexion,1,121,67.14,76.88055979779148,-102.22,-202.35072185533826,2037.3348346414741,1.7096630626517695,753.4294860183566,0.6449921200251297,-2.154860883572749
Flexion,1,120,2.8528571428571445,3.6584828804208365,-147.56571428571428,-73.51821964984674,107.23697649080266,2.467929937315084,35.8531322281242,0.40505275253340445,-2.8624663347596115
Flexion,1,118,125.47,106.8991571183264,-656.36,-188.27184311373952,2832.8276636356495,1.7610831450659892,1047.6117397595988,0.6187714287987514,-2.1020490762531843
Flexion,1,117,15.763571428571428,13.878068799081541,-38.23642857142857,-73.44024501771072,432.4809640456585,2.5391191364345533,136.00507423099913,0.4049075315402946,-2.9016147729744883
Flexion,1,114,99.08307692307692,93.97427534524155,-144.84615384615384,-101.23494839086639,3160.580073797629,2.4814403066372543,920.9478983833673,0.4566727571845018,-2.6281660340699853
Flexion,1,113,-389.885,-373.78903833742856,65.905,93.50119411355794,-13400.609795358941,3.0280287150607776,-3663.1325757068003,0.09399357250358525,-4.4361732047861295
Flexion,1,111,274.95,279.9901461307345,-55.81749999999999,-139.35128705874433,8963.487079180599,2.460546585394728,2743.9034320811984,0.5276611338325274,-2.1091899023895317
Flexion,1,110,-44.27818181818182,-42.69208878184729,27.63363636363636,-53.52471542715075,-1452.5111101201808,2.6779720621912926,-418.38247006210344,0.36781658405873574,-3.1882313288434974
Flexion,1,108,217.3,211.59947823784168,-121.05,-118.09368765912224,5607.386173302804,1.8969298001361423,2073.674886730849,0.4880706976691258,-1.8351037546425328
Flexion,1,107,43.73785714285715,45.370437541594264,-118.74428571428572,-94.75338435716208,1471.3111132851016,2.725200815270101,444.6302879076238,0.4446014060271396,-3.025515888169935
Flexion,1,105,248.71,252.69735771731803,-398.12,-281.4919917851084,6696.4799795089275,1.9265873827841178,2476.4341056297167,0.7923858748957195,-2.0622728954114997
Flexion,1,104,58.44571428571428,58.54154391827568,-67.82642857142856,-117.3010886523077,1915.7623686856416,2.7650711635723058,573.7071303991017,0.48659455072550506,-3.063793601578052
Flexion,1,101,263.696,255.88438175678107,-306.39099999999996,-167.9422055477615,8186.390632961321,2.6331583724245613,2507.6669412164547,0.5809092411099923,-2.4112569263098806
Flexion,1,100,-247.5,-246.85928719742938,-174.85,-121.48175613090152,-8041.274738757173,2.967463386959222,-2419.221014534808,0.49438068150255887,-4.250423747666365
Flexion,1,98,462.1333333333334,457.609855663986,-356.8733333333333,-314.62589939315916,14634.398234073005,2.6483285363393327,4484.576585507063,0.8540949055976482,-2.06727920925018
Flexion,1,97,12.991666666666667,19.579101422562864,-4.035000000000004,-119.1610709587862,566.6584830665585,2.801260098745667,191.8751939411161,0.49005860653845834,-3.2357484904472367
Flexion,1,95,356.7,370.6432998361503,-161.4,-284.0204033044194,9822.047445657983,1.9869601618516237,3632.304338394273,0.7970948221746804,-1.8208411559378632
Flexion,1,94,110.33214285714287,111.6689508904894,-218.6585714285714,-142.90683807920414,3658.653317412747,2.842778252539925,1094.355718726796,0.5342830393946265,-3.018269961816157
Flexion,1,92,416.68,411.46705466471593,-317.42,-240.56147233024925,10903.876948614972,1.993335000889566,4032.3771357142164,0.7161563304796519,-1.6401862689788222
Flexion,1,91,135.84357142857144,134.9668994290515,-78.01,-141.1742587599344,4411.7263212233565,2.8492860011369134,1322.6756144047047,0.5310562606014012,-2.9476996969518225
Flexion,1,88,311.07545454545453,308.74994531043995,-226.20454545454547,-200.93777323659168,9792.082115823754,2.726245148176375,3025.749464042312,0.6423606257043906,-2.4083305408479125
Flexion,1,87,-179.46,-177.41099221847645,-60.525,-29.85503829050829,-5693.931239837498,2.966842051203318,-1738.6277237410693,0.3237338622014771,-3.848959828442871
Flexion,1,85,570.45,568.1822712534661,-303.97,-363.8950557049145,18419.104258813895,2.803065795288683,5568.186258283968,0.9458544383236192,-1.942623122826586
Flexion,1,84,150.9776923076923,148.70235663822618,-92.90846153846154,-149.70174384597755,4641.663674204299,2.7741870258826506,1457.2830950546168,0.5469379623677517,-2.865933271750821
Flexion,1,82,544.58,537.9378611774065,-360.46,-299.07414386345164,14255.353321201272,1.9751392031219535,5271.791039538584,0.8251311090299766,-1.4022976878863478
Flexion,1,81,203.57785714285714,207.5604896184146,-260.54571428571427,-202.60275919695277,6778.058668552899,2.8146352449246677,2034.0927982604633,0.6454615177259896,-2.795396263771371
Flexion,1,79,581.56,581.8339419450389,-381.98,-328.75913939214684,15418.59946154353,1.9579045251267688,5701.972631061381,0.8804168399535991,-1.3262732617410733
Flexion,1,78,302.73833333333334,299.9509152521252,-257.7916666666667,-266.6891019473983,9890.020305191405,2.715746894444015,2939.518969470827,0.7648167757638511,-2.5106839816051547
Flexion,1,77,-175.27499999999998,-183.91881402327834,133.155,3.878092427693346,-6606.818662000206,3.205219966195172,-1802.4043774281279,0.2609088304006434,-4.114036387158778
Flexion,1,75,466.31625,470.9301434535266,-367.52125,-332.8030860361837,14853.04320732193,2.6592103914877603,4615.115405844561,0.8879483400279579,-2.090572751286912
Flexion,1,74,56.82285714285714,59.32815072418406,-152.17714285714285,-151.2879105672751,1954.8726666480975,2.7281283924031348,581.4158770970039,0.5498920603890531,-3.086312929988481
Flexion,1,72,700.35,688.1769204115511,-446.54,-371.8305634653434,18236.688390906103,1.8969298001361425,6744.133820033201,0.960633633636662,-1.0691552089249399
Flexion,1,71,270.17785714285714,275.6043991222555,-173.69714285714286,-237.63518106775163,8976.277972890273,2.6944632210695425,2700.9231113981036,0.7107063666692748,-2.5248974127071495
Flexion,1,69,735.81,752.6735809501434,-317.42,-369.57674468374427,19945.849895178802,1.8620728647599678,7376.201093311406,0.9564360915285741,-0.862489242648727
Flexion,1,68,318.5423076923077,325.49646167156,-301.0730769230769,-230.25188161590341,10635.326591613073,2.5984480748462704,3189.8653243812882,0.6969556114626982,-2.2524344178386753
Flexion,1,67,-101.27,-119.11049045605358,-26.9,17.19280341056249,-4407.088146873983,3.1880447955235924,-1167.2828064693251,0.23611133538289486,-3.856343846162358
Flexion,1,66,783.19,818.7407829302111,-511.1,-321.7004055389482,21696.630747650594,1.8221121170925838,8023.6596727160695,0.8672705600394865,-0.5616700108381945
Flexion,1,65,504.06875,507.49980030047476,-206.79375000000002,-221.8758888234965,16554.735591093395,2.6296678493780963,4973.498042944653,0.6813560509611115,-1.6875589018334085
Flexion,1,64,484.60016260162604,484.7292661190145,-115.38569105691057,-105.0809582100334,15164.997815000557,2.457978477445427,4750.346807966343,0.46383561708072574,-1.4346358173740827
Flexion,1,63,-6.112673267326734,-5.09799432397119,68.76811881188118,77.32298027321791,-77.1698018277426,2.5455300164785495,-49.96034437491767,0.12412409337017136,-2.677221882315976
Extension,1,63,-3.5057142857142876,-11.11999249281544,639.8357142857143,239.861335860731,-156.90516036258558,2.528739267075396,-108.97592642959133,-0.1785895042482925,-2.365536902931633
Extension,1,64,480.7444444444444,475.98262303747856,376.30111111111114,15.426746225863642,14945.998188033285,2.451059350974323,4664.62970576729,0.2394004637984477,-1.2247580648120182
Extension,1,66,-35.168,-94.5008489234784,5.380000000000007,210.28585412959222,-2742.005989223585,2.479041823630743,-926.1083194500884,-0.12350773327939774,-2.624433024115817
Extension,1,67,424.85900000000004,369.6876205576299,-355.08000000000004,29.387498319537702,11627.430332318769,2.6070892696143098,3622.9386814647733,0.21339977321400178,-1.680227631631866
Extension,1,69,-19.25,-80.60208196587554,416.95,382.50132650817756,-2982.277032737395,3.2333302847173697,-789.9004032655804,-0.44424412205882113,-3.0815476370116475
Extension,1,70,176.62428571428572,143.2594231758651,212.70214285714286,9.263425069180451,4591.41452358419,2.579272659117327,1403.942347123478,0.2508791151842926,-2.3798878161940413
Extension,1,73,-22.390666666666668,36.60746988130486,-233.49200000000002,4.54986775383651,1167.973865374769,2.670680606032546,358.75320483678763,0.259657707088653,-2.815799202594685
Extension,1,76,-361.75,-304.5639723974814,249.2733333333333,117.85346126135967,-9268.959870504395,2.805563058314979,-2984.726929495318,0.048639585920966455,-3.763177108945283
Extension,1,77,-13.091666666666676,50.26645347202222,164.76250000000002,-10.8812933576717,1499.1982420697132,2.6970787361450914,492.6112440258178,0.2883969070061748,-2.8384545168741986
Extension,1,80,-16.780666666666672,-30.437121211976425,-71.554,49.53436605617309,-958.2967690621224,2.750281173695068,-298.283787877369,0.17587797848896158,-3.020135963483303
Extension,1,83,20.449333333333335,-12.22645802298015,210.89600000000002,85.06259263597524,-371.93193023809397,2.7718922668237553,-119.81928862520549,0.10970973625406799,-2.9180760661787226
Extension,1,86,-151.1757142857143,-159.6414900876573,148.71857142857144,222.20095333643988,-4996.318361775012,2.7595108805508093,-1564.4866028590416,-0.1456985726898763,-3.103783768721809
Extension,1,87,176.095,156.3616491595884,-84.0625,4.939112978815592,4939.533298495283,2.8120016027231056,1532.3441617639664,0.25893277159891387,-2.586531625940138
Extension,1,90,13.692000000000004,23.813164460207197,184.35466666666667,110.61954024974547,776.0227159488827,2.792708693938333,233.36901171003055,0.062112136731501205,-2.7787189980276854
Extension,1,93,30.577999999999996,35.917955970124396,36.04600000000001,103.27408661198164,1159.106009355744,2.7888813837326913,351.9959685072191,0.07579240739001611,-2.7510043202095513
Extension,1,96,-47.130833333333335,-43.98704868983029,208.02666666666667,139.54553688072005,-1694.5043362631159,2.6302330562340606,-431.0730771603369,0.008239975460942739,-2.804647143302048
Extension,1,97,428.93333333333334,421.43392506251877,17.933333333333334,-93.40969811765376,14664.739954019627,3.3594302737943003,4130.0524656126845,0.44209890688371134,-2.3634094416741958
Extension,1,99,-236.51333333333332,-247.97460642733407,163.19333333333333,279.533685918848,-8051.274441962651,2.968306419503552,-2430.151142987874,-0.25247581722754275,-3.5053909173874738
Extension,1,100,136.88833333333335,140.74408500914953,-48.64416666666667,42.37017964856381,4533.407491529429,2.6979391245570086,1379.2920330896654,0.18922065464449242,-2.442584367775319
Extension,1,103,77.47333333333333,74.71696727956284,171.80133333333333,100.8461900064123,2380.2663770913855,2.7211317510389836,732.2262793397158,0.08031415435528452,-2.5680215097544434
Extension,1,106,84.60066666666667,81.34494746822126,47.34400000000001,124.43287572296997,2578.0554814816687,2.68452389539685,797.1804851885685,0.03638599682380933,-2.468089011128286
Extension,1,109,-82.77888888888889,-85.30273663353552,372.7144444444445,241.6666324482025,-2964.591185778396,2.6598642564697994,-835.9668190086481,-0.18195171265003557,-2.7686396290399844
Extension,1,110,329.5466666666667,332.2580683680546,8.51833333333333,15.556586837652112,10895.488802403439,2.595506724625611,3256.1290700069353,0.23915864691424582,-1.7661829053003837
Extension,1,112,-482.34,-467.71903322462236,341.63,319.5861509461866,-16370.166162861782,3.0375995033934413,-4583.6465256013,-0.32707006138664163,-4.315894362448564
Extension,1,113,116.59714285714287,115.69169208510118,110.67428571428572,160.15099014794018,3762.574943882645,2.538915039708308,1133.7785824339917,-0.030135895062251672,-2.1397965842157483
Extension,1,116,67.29866666666666,68.63611001662657,225.60133333333334,178.4522217548385,2167.730002926681,2.510069947159697,672.6338781629405,-0.06422035248491886,-2.2332678976372415
Extension,1,119,31.014285714285712,35.0040826173079,162.3607142857143,181.87036603716416,965.7970613895433,2.390062924040581,343.04000964961745,-0.0705863499083681,-2.224764235406051
Extension,1,120,381.28,393.6764691359533,45.73,122.1720653673188,14566.029358030273,3.146266893340421,3858.029397532343,0.040596560132503345,-1.7584239172538987
Extension,1,122,-224.195,-220.26923716853707,303.97,307.1096905176022,-7608.27871456029,2.857719462459686,-2158.6385242516635,-0.30383373536236546,-3.3000030011545816
