State,Angle,Motion
Flexion,180,0
Flexion,179,0.62
Flexion,178,1.24
Flexion,177,1.86
Flexion,176,2.48
Flexion,175,3.1
Flexion,174,3.72
Flexion,173,4.34
Flexion,172,4.96
Flexion,171,5.58
Flexion,170,6.2
Flexion,169,6.82
Flexion,168,7.44
Flexion,167,8.06
Flexion,166,8.68
Flexion,165,9.3
Flexion,164,9.92
Flexion,163,10.54
Flexion,162,11.16
Flexion,161,11.78
Flexion,160,12.4
Flexion,159,13.02
Flexion,158,13.64
Flexion,157,14.26
Flexion,156,14.88
Flexion,155,15.5
Flexion,154,16.12
Flexion,153,16.74
Flexion,152,17.36
Flexion,151,17.98
Flexion,150,18.6
Flexion,149,19.22
Flexion,148,19.84
Flexion,147,20.46
Flexion,146,21.08
Flexion,145,21.7
Flexion,144,22.32
Flexion,143,22.94
Flexion,142,23.56
Flexion,141,24.18
Flexion,140,24.8
Flexion,139,25.42
Flexion,138,26.04
Flexion,137,26.66
Flexion,136,27.28
Flexion,135,27.9
Flexion,134,28.52
Flexion,133,29.14
Flexion,132,29.76
Flexion,131,30.38
Flexion,130,31
Flexion,129,31.62
Flexion,128,32.24
Flexion,127,32.86
Flexion,126,33.48
Flexion,125,34.1
Flexion,124,34.72
Flexion,123,35.34
Flexion,122,35.96
Flexion,121,36.58
Flexion,120,37.2
Flexion,119,37.82
Flexion,118,38.44
Flexion,117,39.06
Flexion,116,39.68
Flexion,115,40.3
Flexion,114,40.92
Flexion,113,41.54
Flexion,112,42.16
Flexion,111,42.78
Flexion,110,43.4
Flexion,109,44.02
Flexion,108,44.64
Flexion,107,45.26
Flexion,106,45.88
Flexion,105,46.5
Flexion,104,47.12
Flexion,103,47.74
Flexion,102,48.36
Flexion,101,48.98
Flexion,100,49.6
Flexion,99,50.22
Extension,100,50.84
Extension,101,51.46
Extension,102,52.08
Extension,103,52.7
Extension,104,53.32
Extension,105,53.94
Extension,106,54.56
Extension,107,55.18
Extension,108,55.8
Extension,109,56.42
Extension,110,57.04
Extension,111,57.66
Extension,112,58.28
Extension,113,58.9
Extension,114,59.52
Extension,115,60.14
Extension,116,60.76
Extension,117,61.38
Extension,118,62
Extension,119,62.62
Extension,120,63.24
Extension,121,63.86
Extension,122,64.48
Extension,123,65.1
Extension,124,65.72
Extension,125,66.34
Extension,126,66.96
Extension,127,67.58
Extension,128,68.2
Extension,129,68.82
Extension,130,69.44
Extension,131,70.06
Extension,132,70.68
Extension,133,71.3
Extension,134,71.92
Extension,135,72.54
Extension,136,73.16
Extension,137,73.78
Extension,138,74.4
Extension,139,75.02
Extension,140,75.64
Extension,141,76.26
Extension,142,76.88
Extension,143,77.5
Extension,144,78.12
Extension,145,78.74
Extension,146,79.36
Extension,147,79.98
Extension,148,80.6
Extension,149,81.22
Extension,150,81.84
Extension,151,82.46
Extension,152,83.08
Extension,153,83.7
Extension,154,84.32
Extension,155,84.94
Extension,156,85.56
Extension,157,86.18
Extension,158,86.8
Extension,159,87.42
Extension,160,88.04
Extension,161,88.66
Extension,162,89.28
Extension,163,89.9
Extension,164,90.52
Extension,165,91.14
Extension,166,91.76
Extension,167,92.38
Extension,168,93
Extension,169,93.62
Extension,170,94.24
Extension,171,94.86
Extension,172,95.48
Extension,173,96.1
Extension,174,96.72
Extension,175,97.34
Extension,176,97.96
Extension,177,98.58
Extension,178,99.2
Extension,179,99.82
Extension,180,100.44
