Number,State,Angle,Weight,Filtered_Weight,Current,Filtered_Current,Inter_Torque,Gravity_Torque,Angle_int,Motion,Inter_Force,Motor_Torque,Human_Torque
1,Extension,53,309.14,417.13119633314477,37.66,21.323208504307583,14599.591871660066,2.6164549962375103,53,50.0,3029.572,0.22841881394061897,-1.4131429156743383
1,Extension,54,166.18,275.99455309379766,-21.52,-0.3129208840518486,9659.809358282919,2.650466364622376,54,50.0,1628.564,0.26871422939511136,-1.9718768875271016
1,Extension,55,681.685,577.0234827266073,14.795,-9.464108721244706,20195.821895431258,2.683670375276933,55,50.0,6680.513,0.2857575234697058,-0.9888943056320783
1,Extension,56,701.28,705.2037431330838,-126.43,-48.89352271840327,24682.131009657933,2.7160569139378823,56,50.0,6872.544,0.3591913890943722,-0.6547580715680555
1,Extension,58,667.385,536.8421141521404,-12.104999999999999,-15.593534224428463,18789.473995324915,2.7783383662802503,58,50.0,6540.3730000000005,0.29717304713915815,-1.232893438405879
1,Extension,59,974.76,918.4382575301306,13.45,22.9721913624045,32145.33901355457,2.808214308427951,59,50.0,9552.648000000001,0.22534772630975552,0.11881889375539478
1,Extension,60,808.825,788.4008288577099,-64.56,-39.836857442624165,27594.029010019847,2.8372348412935224,60,50.0,7926.485000000001,0.3423241350967076,-0.4735090960392218
1,Extension,61,792.53,779.6675202911822,24.21,-21.260135997283363,27288.363210191375,2.8653911249415245,61,50.0,7766.794,0.3077266017308219,-0.49704342186171646
1,Extension,63,981.31,857.924675746905,16.14,13.393342128138412,30027.363651141673,2.9190769037490236,63,50.0,9616.838,0.2431875026645024,-0.2175859114419182
1,Extension,64,923.52,884.4151811785507,8.07,-20.608997581658635,30954.531341249276,2.944590045700229,64,50.427,9050.496000000001,0.30651391287575824,-0.21550137216525111
1,Extension,65,962.8933333333333,959.6848160542226,23.313333333333333,-3.4847787458927875,33588.96856189779,2.9692062369986316,65,50.858,9436.354666666668,0.2746215397097855,0.050124850689067524
1,Extension,70,975.955,937.348456781087,-11.4325,4.35511121052693,32807.19598733805,3.078580180384436,70,53.013,9564.359,0.2600204242680651,-0.12131367841380364
1,Extension,72,1025.42,1023.801734771894,16.14,15.37641579095554,35833.06071701629,3.115810081644555,72,53.875,10049.116000000002,0.23949419987056228,0.15871861201313045
1,Extension,76,844.065,886.5930545635125,19.5025,13.568724534065126,31030.75690972294,3.17884074637803,76,55.599,8271.837000000001,0.24286086813651575,-0.37862385329795056
1,Extension,79,957.82,976.9387612179708,10.76,9.387456434240269,34192.856642628976,3.2159643745644417,79,56.892,9386.636,0.2506481175185474,-0.11343867346277131
1,Extension,81,718.37,710.6794981445431,8.07,9.45026018255816,24873.78243505901,3.235821674549199,81,57.754,7040.026000000001,0.25053115098145823,-1.047068009318165
1,Extension,82,796.0633333333334,827.0359094714034,13.450000000000001,19.044481316398066,28946.25683149912,3.2442732679391155,82,58.185,7801.420666666668,0.23266274579627072,-0.638277882041576
1,Extension,84,638.8,564.5762088090493,40.35,15.682223908597168,19760.167308316722,3.258209470112126,84,59.047,6260.24,0.2389246587604802,-1.5593236568690507
1,Extension,85,367.8766666666667,446.9303468369199,8.069999999999999,12.270148170999164,15642.562139292197,3.2636898337930362,85,59.478,3605.191333333334,0.24527935404542694,-1.9749578482822028
1,Extension,87,895.95,907.4981625124649,-2.69,2.7365241601848056,31762.43568793627,3.27166673999284,87,60.34,8780.310000000001,0.2630349023418507,-0.4198707033012353
1,Extension,88,711.86,715.2453874800094,20.62333333333333,12.069603156631546,25033.588561800327,3.2741608526688304,88,60.771,6976.228000000001,0.24565285175041007,-1.0648572604792181
1,Extension,89,763.99,789.7967841886366,18.83,7.168976902119001,27642.887446602283,3.2756576242315902,89,61.202,7487.102000000001,0.2547798433378711,-0.819596211286362
1,Extension,92,910.7,819.6082335247863,10.76,12.952566862727972,28686.28817336752,3.274160852668831,92,62.495,8924.86,0.24400840838765517,-0.7050053460998028
1,Extension,93,679.58,698.8694974390731,-40.35,-0.6116241516218863,24460.43241036756,3.27166673999284,93,62.926,6659.884000000001,0.26927053833782016,-1.1421882528304712
1,Extension,94,774.125,776.1562599311542,25.555,2.7477789690525696,27165.469097590394,3.2681760459345,94,63.357,7586.425,0.26301394123595934,-0.8671674780065968
1,Extension,95,728.44,730.8045753272731,8.07,-18.97050685449555,25578.16013645456,3.2636898337930367,95,63.788,7138.712000000001,0.303462365929247,-1.0587915267767563
1,Extension,98,841.61,782.7872428094711,9.415,7.562467877629823,27397.553498331486,3.244273267939115,98,65.081,8247.778,0.2540470005058102,-0.8115380541061235
1,Extension,101,722.5350000000001,700.4935867875188,-39.004999999999995,-26.40019859066339,24517.275537563157,3.2159643745644417,101,66.374,7080.843000000002,0.31729952274384643,-1.1289404652040267
1,Extension,102,777.16,761.0129455008558,-48.42,-2.8291094930766643,26635.453092529955,3.204564716695538,102,66.805,7616.168000000001,0.2734004125632092,-0.865919435316653
1,Extension,103,670.35,655.1355503834129,16.14,9.771009010037867,22929.744263419452,3.192188917370614,103,67.236,6569.43,0.24993378409444056,-1.1934829070379922
1,Extension,104,865.96,877.6400059510784,18.83,11.74192336445143,30717.40020828774,3.17884074637803,104,67.667,8486.408000000001,0.2462631269583705,-0.4127559074721986
1,Extension,107,674.66,670.9080067380876,-38.556666666666665,-17.843204345145953,23481.780235833066,3.1330041366643075,107,68.96,6611.668000000001,0.30136286272598123,-1.1315909685855348
1,Extension,110,730.9100000000001,744.505141714888,21.52,4.800257661983586,26057.67996002108,3.0785801803844355,110,70.253,7162.9180000000015,0.2591913775898182,-0.7823860536524554
1,Extension,111,650.7,675.2122565268522,24.21,22.40053393255422,23632.428978439828,3.0585556747326472,111,70.684,6376.860000000001,0.2264123887186362,-0.9674184375416601
1,Extension,113,610.38,648.4922938952866,10.76,-9.454053299002863,22697.23028633503,3.0157180498196148,113,71.546,5981.724,0.28573879611743624,-1.075618883733937
1,Extension,114,657.47,658.6612492551691,-78.01,-45.89711870942312,23053.143723930916,2.992917979313896,114,71.977,6443.206000000001,0.3536108463714061,-1.0857876779099782
1,Extension,115,711.16,698.9583805824096,10.76,21.213404015007974,24463.54332038434,2.9692062369986307,115,72.408,6969.368,0.2286233152835198,-0.7987754507209182
1,Extension,116,676.83,730.3393551141539,-43.04,3.0891927049451144,25561.877428995387,2.9445900457002296,116,72.839,6632.934000000001,0.26237808774836363,-0.7002042486544333
1,Extension,117,582.4,617.4705141674909,16.14,7.588993544927096,21611.467995862182,2.919076903749023,117,73.27,5707.52,0.25399759874985073,-1.053713449309547
1,Extension,120,668.9666666666667,662.6430666582138,14.346666666666666,-2.792087341684436,23192.507333037483,2.837234841293522,120,74.563,6555.873333333334,0.2733314620155123,-0.8361582539873229
1,Extension,122,670.09,693.8854038099627,8.07,1.3999735880575677,24285.989133348692,2.7783383662802503,122,75.425,6566.8820000000005,0.26552411192333814,-0.6622204945468914
1,Extension,123,578.85,556.8294068801453,13.45,3.9139106452167822,19489.029240805085,2.7476161153518115,123,75.856,5672.7300000000005,0.26084212207541385,-1.097237327059705
1,Extension,124,731.16,723.7722399629898,10.76,-3.191582200817204,25332.028398704642,2.7160569139378823,124,76.287,7165.368,0.27407548656037145,-0.5059090059199738
1,Extension,125,642.31,620.966987405618,8.07,-14.854055177796061,21733.84455919663,2.6836703752769333,125,76.718,6294.638,0.2957958315166644,-0.8481041122032962
1,Extension,126,599.74,621.9156572267473,21.52,15.734943209439733,21767.048002936153,2.650466364622376,126,77.149,5877.452,0.23882647363264192,-0.7546745981077936
