Timer,Angle
32283.23308,179
32283.26646,179
32283.29982,177.1871796
32283.33318,174.351564
32283.36644,171.4294468
32283.3997,170
32283.43296,169
32283.46622,168
32283.49948,167
32283.53274,166
32283.566,165
32283.59926,164
32283.63252,163
32283.66578,162
32283.69904,161
32283.7323,160
32283.76556,159
32283.79882,158
32283.83208,157
32283.86534,156
32283.8986,155
32283.93186,154
32283.96512,153
32283.99838,152
32284.03164,151
32284.0649,150
32284.09816,149
32284.13142,148
32284.16468,147
32284.19794,146
32284.2312,145
32284.26446,144
32284.29772,143
32284.33098,142
32284.36424,141
32284.3975,140
32284.43076,139
32284.46402,138
32284.49728,137
32284.53054,136
32284.5638,135
32284.59706,134
32284.63032,133
32284.66358,132
32284.69684,131
32284.7301,130
32284.76336,129
32284.79662,128
32284.82988,127
